[

['2018-06-28 10:12:40', 25.9], 

['2018-06-28 10:12:45', 25.9], 

['2018-06-28 10:12:50', 25.8], 

['2018-06-28 10:12:55', 25.8], 

['2018-06-28 10:13:00', 25.7], 

['2018-06-28 10:13:05', 25.6], 

['2018-06-28 10:13:10', 25.6], 

['2018-06-28 10:13:15', 25.5], 

['2018-06-28 10:13:20', 25.5], 

['2018-06-28 10:13:25', 25.4], 

['2018-06-28 10:13:30', 25.4], 

['2018-06-28 10:13:35', 25.4], 

['2018-06-28 10:13:40', 25.3], 

['2018-06-28 10:13:45', 25.3], 

['2018-06-28 10:13:50', 25.3], 

['2018-06-28 10:13:55', 25.2], 

['2018-06-28 10:14:00', 25.2], 

['2018-06-28 10:14:05', 25.1], 

['2018-06-28 10:14:13', 25.1], 

['2018-06-28 10:14:15', 25.1], 

['2018-06-28 10:14:20', 25.1], 

['2018-06-28 10:14:25', 25.0], 

['2018-06-28 10:14:30', 25.0], 

['2018-06-28 10:14:35', 25.0], 

['2018-06-28 10:14:40', 24.9], 

['2018-06-28 10:14:45', 24.9], 

['2018-06-28 10:14:50', 24.9], 

['2018-06-28 10:14:55', 24.8], 

['2018-06-28 10:15:00', 24.8], 

['2018-06-28 10:15:05', 24.8], 

['2018-06-28 10:15:10', 24.9], 

['2018-06-28 10:15:15', 24.9], 

['2018-06-28 10:15:20', 24.9], 

['2018-06-28 10:15:25', 25.0], 

['2018-06-28 10:15:30', 25.0], 

['2018-06-28 10:15:35', 25.0], 

['2018-06-28 10:15:40', 25.1], 

['2018-06-28 10:15:45', 25.1], 

['2018-06-28 10:15:50', 25.1], 

['2018-06-28 10:15:55', 25.1], 

['2018-06-28 10:16:00', 25.2], 
