[

['2018-09-06 04:04:14', 60.5], 

['2018-09-06 04:04:22', 60.4], 

['2018-09-06 04:04:24', 60.4], 

['2018-09-06 04:04:30', 60.4], 

['2018-09-06 04:04:35', 60.3], 

['2018-09-06 04:04:40', 60.3], 

['2018-09-06 04:04:45', 60.3], 

['2018-09-06 04:04:52', 60.3], 

['2018-09-06 04:04:55', 60.3], 

['2018-09-06 04:05:00', 60.3], 

['2018-09-06 04:05:06', 60.2], 

['2018-09-06 04:05:11', 60.3], 

['2018-09-06 04:05:16', 60.3], 

['2018-09-06 04:05:21', 60.3], 

['2018-09-06 04:05:29', 60.2], 

['2018-09-06 04:05:31', 60.2], 

['2018-09-06 04:05:36', 60.2], 

['2018-09-06 04:05:43', 60.1], 

['2018-09-06 04:05:46', 60.1], 

['2018-09-06 04:05:51', 60.1], 

['2018-09-06 04:05:56', 60.1], 

['2018-09-06 04:06:01', 60.1], 

['2018-09-06 04:06:10', 60.1], 

['2018-09-06 04:06:11', 60.1], 

['2018-09-06 04:06:16', 60.1], 

['2018-09-06 04:06:22', 60.1], 

['2018-09-06 04:06:27', 60.1], 

['2018-09-06 04:06:35', 60.1], 

['2018-09-06 04:06:37', 60.1], 

['2018-09-06 04:06:45', 60.1], 

['2018-09-06 04:06:50', 60.1], 

['2018-09-06 04:06:54', 60.1], 

['2018-09-06 04:06:57', 60.0], 

['2018-09-06 04:07:03', 60.0], 

['2018-09-06 04:07:08', 60.0], 

['2018-09-06 04:07:13', 60.0], 

['2018-09-06 04:07:18', 60.0], 

['2018-09-06 04:07:26', 60.0], 

['2018-09-06 04:07:28', 60.0], 

['2018-09-06 04:07:34', 60.0], 

['2018-09-06 04:07:39', 60.0], 

['2018-09-06 04:07:44', 60.0], 

['2018-09-06 04:07:49', 60.0], 

['2018-09-06 04:07:54', 60.0], 

['2018-09-06 04:07:59', 60.0], 

['2018-09-06 04:08:06', 60.1], 

['2018-09-06 04:08:11', 60.1], 

['2018-09-06 04:08:14', 60.1], 

['2018-09-06 04:08:19', 60.1], 

['2018-09-06 04:08:24', 60.2], 

['2018-09-06 04:08:29', 60.2], 

['2018-09-06 04:08:34', 60.2], 

['2018-09-06 04:08:39', 60.3], 

['2018-09-06 04:08:44', 60.3], 

['2018-09-06 04:08:52', 60.2], 

['2018-09-06 04:08:54', 60.2], 

['2018-09-06 04:09:05', 60.2], 

['2018-09-06 04:09:05', 60.2], 

['2018-09-06 04:09:10', 60.1], 

['2018-09-06 04:09:18', 60.1], 

['2018-09-06 04:09:21', 60.1], 

['2018-09-06 04:09:26', 60.1], 

['2018-09-06 04:09:31', 60.1], 

['2018-09-06 04:09:36', 60.1], 
